
---------- Begin Simulation Statistics ----------
simSeconds                                   0.012668                       # Number of seconds simulated (Second)
simTicks                                  12668390500                       # Number of ticks simulated (Tick)
finalTick                                 12668390500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     97.87                       # Real time elapsed on the host (Second)
hostTickRate                                129436417                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2811968                       # Number of bytes of host memory used (Byte)
simInsts                                     18405434                       # Number of instructions simulated (Count)
simOps                                       21482674                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   188053                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     219494                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bigCluster.clk_domain.clock                500                       # Clock period in ticks (Tick)
system.bigCluster.cpus.numCycles             25336782                       # Number of cpu cycles simulated (Cycle)
system.bigCluster.cpus.numWorkItemsStarted            0                       # Number of work items this cpu started (Count)
system.bigCluster.cpus.numWorkItemsCompleted            0                       # Number of work items this cpu completed (Count)
system.bigCluster.cpus.instsAdded            21567790                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.bigCluster.cpus.nonSpecInstsAdded         8197                       # Number of non-speculative instructions added to the IQ (Count)
system.bigCluster.cpus.instsIssued           21541384                       # Number of instructions issued (Count)
system.bigCluster.cpus.squashedInstsIssued         6929                       # Number of squashed instructions issued (Count)
system.bigCluster.cpus.squashedInstsExamined        93326                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.bigCluster.cpus.squashedOperandsExamined        75633                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.bigCluster.cpus.squashedNonSpecRemoved          182                       # Number of squashed non-spec instructions that were removed (Count)
system.bigCluster.cpus.numIssuedDist::samples     25113793                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::mean     0.857751                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::stdev     1.125266                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.fetch.pendingTrapStallCycles            8                       # Number of stall cycles due to pending traps (Cycle)
system.bigCluster.cpus.fetch.pendingQuiesceStallCycles          857                       # Number of stall cycles due to pending quiesce instructions (Cycle)
system.bigCluster.cpus.fetch.icacheWaitRetryStallCycles           11                       # Number of stall cycles due to full MSHR (Cycle)
system.bigCluster.cpus.fetch.cacheLines       7452050                       # Number of cache lines fetched (Count)
system.bigCluster.cpus.fetch.icacheSquashes          663                       # Number of outstanding Icache misses that were squashed (Count)
system.bigCluster.cpus.fetch.tlbSquashes           16                       # Number of outstanding ITLB misses that were squashed (Count)
system.bigCluster.cpus.fetch.nisnDist::samples     25113793                       # Number of instructions fetched each cycle (Total) (Count)
system.bigCluster.cpus.fetch.nisnDist::mean     0.865483                       # Number of instructions fetched each cycle (Total) (Count)
system.bigCluster.cpus.fetch.nisnDist::stdev     1.166967                       # Number of instructions fetched each cycle (Total) (Count)
system.bigCluster.cpus.fetch.nisnDist::underflows            0      0.00%      0.00% # Number of instructions fetched each cycle (Total) (Count)
system.bigCluster.cpus.fetch.nisnDist::0     14875672     59.23%     59.23% # Number of instructions fetched each cycle (Total) (Count)
system.bigCluster.cpus.fetch.nisnDist::1      2881492     11.47%     70.71% # Number of instructions fetched each cycle (Total) (Count)
system.bigCluster.cpus.fetch.nisnDist::2      3215826     12.81%     83.51% # Number of instructions fetched each cycle (Total) (Count)
system.bigCluster.cpus.fetch.nisnDist::3      4140803     16.49%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.bigCluster.cpus.fetch.nisnDist::overflows            0      0.00%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.bigCluster.cpus.fetch.nisnDist::min_value            0                       # Number of instructions fetched each cycle (Total) (Count)
system.bigCluster.cpus.fetch.nisnDist::max_value            3                       # Number of instructions fetched each cycle (Total) (Count)
system.bigCluster.cpus.fetch.nisnDist::total     25113793                       # Number of instructions fetched each cycle (Total) (Count)
system.bigCluster.cpus.fetch.branchRate      0.180763                       # Number of branch fetches per cycle (Ratio)
system.bigCluster.cpus.fetch.rate            0.735504                       # Number of inst fetches per cycle ((Count/Cycle))
system.bigCluster.cpus.icache.demandHits::bigCluster.cpus.inst      7448271                       # number of demand (read+write) hits (Count)
system.bigCluster.cpus.icache.demandHits::total      7448271                       # number of demand (read+write) hits (Count)
system.bigCluster.cpus.icache.overallHits::bigCluster.cpus.inst      7448271                       # number of overall hits (Count)
system.bigCluster.cpus.icache.overallHits::total      7448271                       # number of overall hits (Count)
system.bigCluster.cpus.icache.demandMisses::bigCluster.cpus.inst         1297                       # number of demand (read+write) misses (Count)
system.bigCluster.cpus.icache.demandMisses::total         1297                       # number of demand (read+write) misses (Count)
system.bigCluster.cpus.icache.overallMisses::bigCluster.cpus.inst         1297                       # number of overall misses (Count)
system.bigCluster.cpus.icache.overallMisses::total         1297                       # number of overall misses (Count)
system.bigCluster.cpus.icache.demandMissLatency::bigCluster.cpus.inst     57660500                       # number of demand (read+write) miss ticks (Tick)
system.bigCluster.cpus.icache.demandMissLatency::total     57660500                       # number of demand (read+write) miss ticks (Tick)
system.bigCluster.cpus.icache.overallMissLatency::bigCluster.cpus.inst     57660500                       # number of overall miss ticks (Tick)
system.bigCluster.cpus.icache.overallMissLatency::total     57660500                       # number of overall miss ticks (Tick)
system.bigCluster.cpus.icache.demandAccesses::bigCluster.cpus.inst      7449568                       # number of demand (read+write) accesses (Count)
system.bigCluster.cpus.icache.demandAccesses::total      7449568                       # number of demand (read+write) accesses (Count)
system.bigCluster.cpus.icache.overallAccesses::bigCluster.cpus.inst      7449568                       # number of overall (read+write) accesses (Count)
system.bigCluster.cpus.icache.overallAccesses::total      7449568                       # number of overall (read+write) accesses (Count)
system.bigCluster.cpus.icache.demandMissRate::bigCluster.cpus.inst     0.000174                       # miss rate for demand accesses (Ratio)
system.bigCluster.cpus.icache.demandMissRate::total     0.000174                       # miss rate for demand accesses (Ratio)
system.bigCluster.cpus.icache.overallMissRate::bigCluster.cpus.inst     0.000174                       # miss rate for overall accesses (Ratio)
system.bigCluster.cpus.icache.overallMissRate::total     0.000174                       # miss rate for overall accesses (Ratio)
system.bigCluster.cpus.icache.demandAvgMissLatency::bigCluster.cpus.inst 44456.823439                       # average overall miss latency ((Cycle/Count))
system.bigCluster.cpus.icache.demandAvgMissLatency::total 44456.823439                       # average overall miss latency ((Cycle/Count))
system.bigCluster.cpus.icache.overallAvgMissLatency::bigCluster.cpus.inst 44456.823439                       # average overall miss latency ((Cycle/Count))
system.bigCluster.cpus.icache.overallAvgMissLatency::total 44456.823439                       # average overall miss latency ((Cycle/Count))
system.bigCluster.cpus.icache.blockedCycles::no_mshrs           15                       # number of cycles access was blocked (Cycle)
system.bigCluster.cpus.icache.blockedCycles::no_targets           51                       # number of cycles access was blocked (Cycle)
system.bigCluster.cpus.icache.blockedCauses::no_mshrs            1                       # number of times access was blocked (Count)
system.bigCluster.cpus.icache.blockedCauses::no_targets            3                       # number of times access was blocked (Count)
system.bigCluster.cpus.icache.avgBlocked::no_mshrs           15                       # average number of cycles each access was blocked ((Cycle/Count))
system.bigCluster.cpus.icache.avgBlocked::no_targets           17                       # average number of cycles each access was blocked ((Cycle/Count))
system.bigCluster.cpus.icache.writebacks::writebacks          321                       # number of writebacks (Count)
system.bigCluster.cpus.icache.writebacks::total          321                       # number of writebacks (Count)
system.bigCluster.cpus.icache.demandMshrHits::bigCluster.cpus.inst          308                       # number of demand (read+write) MSHR hits (Count)
system.bigCluster.cpus.icache.demandMshrHits::total          308                       # number of demand (read+write) MSHR hits (Count)
system.bigCluster.cpus.icache.overallMshrHits::bigCluster.cpus.inst          308                       # number of overall MSHR hits (Count)
system.bigCluster.cpus.icache.overallMshrHits::total          308                       # number of overall MSHR hits (Count)
system.bigCluster.cpus.icache.demandMshrMisses::bigCluster.cpus.inst          989                       # number of demand (read+write) MSHR misses (Count)
system.bigCluster.cpus.icache.demandMshrMisses::total          989                       # number of demand (read+write) MSHR misses (Count)
system.bigCluster.cpus.icache.overallMshrMisses::bigCluster.cpus.inst          989                       # number of overall MSHR misses (Count)
system.bigCluster.cpus.icache.overallMshrMisses::total          989                       # number of overall MSHR misses (Count)
system.bigCluster.cpus.icache.overallMshrUncacheable::bigCluster.cpus.inst         2482                       # number of overall MSHR uncacheable misses (Count)
system.bigCluster.cpus.icache.overallMshrUncacheable::total         2482                       # number of overall MSHR uncacheable misses (Count)
system.bigCluster.cpus.icache.demandMshrMissLatency::bigCluster.cpus.inst     46626500                       # number of demand (read+write) MSHR miss ticks (Tick)
system.bigCluster.cpus.icache.demandMshrMissLatency::total     46626500                       # number of demand (read+write) MSHR miss ticks (Tick)
system.bigCluster.cpus.icache.overallMshrMissLatency::bigCluster.cpus.inst     46626500                       # number of overall MSHR miss ticks (Tick)
system.bigCluster.cpus.icache.overallMshrMissLatency::total     46626500                       # number of overall MSHR miss ticks (Tick)
system.bigCluster.cpus.icache.overallMshrUncacheableLatency::bigCluster.cpus.inst    126859500                       # number of overall MSHR uncacheable ticks (Tick)
system.bigCluster.cpus.icache.overallMshrUncacheableLatency::total    126859500                       # number of overall MSHR uncacheable ticks (Tick)
system.bigCluster.cpus.icache.demandMshrMissRate::bigCluster.cpus.inst     0.000133                       # mshr miss ratio for demand accesses (Ratio)
system.bigCluster.cpus.icache.demandMshrMissRate::total     0.000133                       # mshr miss ratio for demand accesses (Ratio)
system.bigCluster.cpus.icache.overallMshrMissRate::bigCluster.cpus.inst     0.000133                       # mshr miss ratio for overall accesses (Ratio)
system.bigCluster.cpus.icache.overallMshrMissRate::total     0.000133                       # mshr miss ratio for overall accesses (Ratio)
system.bigCluster.cpus.icache.demandAvgMshrMissLatency::bigCluster.cpus.inst 47145.096057                       # average overall mshr miss latency ((Cycle/Count))
system.bigCluster.cpus.icache.demandAvgMshrMissLatency::total 47145.096057                       # average overall mshr miss latency ((Cycle/Count))
system.bigCluster.cpus.icache.overallAvgMshrMissLatency::bigCluster.cpus.inst 47145.096057                       # average overall mshr miss latency ((Cycle/Count))
system.bigCluster.cpus.icache.overallAvgMshrMissLatency::total 47145.096057                       # average overall mshr miss latency ((Cycle/Count))
system.bigCluster.cpus.icache.overallAvgMshrUncacheableLatency::bigCluster.cpus.inst 51111.804996                       # average overall mshr uncacheable latency ((Cycle/Count))
system.bigCluster.cpus.icache.overallAvgMshrUncacheableLatency::total 51111.804996                       # average overall mshr uncacheable latency ((Cycle/Count))
system.bigCluster.cpus.icache.replacements          321                       # number of replacements (Count)
system.bigCluster.cpus.icache.ReadReq.hits::bigCluster.cpus.inst      7448271                       # number of ReadReq hits (Count)
system.bigCluster.cpus.icache.ReadReq.hits::total      7448271                       # number of ReadReq hits (Count)
system.bigCluster.cpus.icache.ReadReq.misses::bigCluster.cpus.inst         1297                       # number of ReadReq misses (Count)
system.bigCluster.cpus.icache.ReadReq.misses::total         1297                       # number of ReadReq misses (Count)
system.bigCluster.cpus.icache.ReadReq.missLatency::bigCluster.cpus.inst     57660500                       # number of ReadReq miss ticks (Tick)
system.bigCluster.cpus.icache.ReadReq.missLatency::total     57660500                       # number of ReadReq miss ticks (Tick)
system.bigCluster.cpus.icache.ReadReq.accesses::bigCluster.cpus.inst      7449568                       # number of ReadReq accesses(hits+misses) (Count)
system.bigCluster.cpus.icache.ReadReq.accesses::total      7449568                       # number of ReadReq accesses(hits+misses) (Count)
system.bigCluster.cpus.icache.ReadReq.missRate::bigCluster.cpus.inst     0.000174                       # miss rate for ReadReq accesses (Ratio)
system.bigCluster.cpus.icache.ReadReq.missRate::total     0.000174                       # miss rate for ReadReq accesses (Ratio)
system.bigCluster.cpus.icache.ReadReq.avgMissLatency::bigCluster.cpus.inst 44456.823439                       # average ReadReq miss latency ((Tick/Count))
system.bigCluster.cpus.icache.ReadReq.avgMissLatency::total 44456.823439                       # average ReadReq miss latency ((Tick/Count))
system.bigCluster.cpus.icache.ReadReq.mshrHits::bigCluster.cpus.inst          308                       # number of ReadReq MSHR hits (Count)
system.bigCluster.cpus.icache.ReadReq.mshrHits::total          308                       # number of ReadReq MSHR hits (Count)
system.bigCluster.cpus.icache.ReadReq.mshrMisses::bigCluster.cpus.inst          989                       # number of ReadReq MSHR misses (Count)
system.bigCluster.cpus.icache.ReadReq.mshrMisses::total          989                       # number of ReadReq MSHR misses (Count)
system.bigCluster.cpus.icache.ReadReq.mshrUncacheable::bigCluster.cpus.inst         2482                       # number of ReadReq MSHR uncacheable (Count)
system.bigCluster.cpus.icache.ReadReq.mshrUncacheable::total         2482                       # number of ReadReq MSHR uncacheable (Count)
system.bigCluster.cpus.icache.ReadReq.mshrMissLatency::bigCluster.cpus.inst     46626500                       # number of ReadReq MSHR miss ticks (Tick)
system.bigCluster.cpus.icache.ReadReq.mshrMissLatency::total     46626500                       # number of ReadReq MSHR miss ticks (Tick)
system.bigCluster.cpus.icache.ReadReq.mshrUncacheableLatency::bigCluster.cpus.inst    126859500                       # number of ReadReq MSHR uncacheable ticks (Tick)
system.bigCluster.cpus.icache.ReadReq.mshrUncacheableLatency::total    126859500                       # number of ReadReq MSHR uncacheable ticks (Tick)
system.bigCluster.cpus.icache.ReadReq.mshrMissRate::bigCluster.cpus.inst     0.000133                       # mshr miss rate for ReadReq accesses (Ratio)
system.bigCluster.cpus.icache.ReadReq.mshrMissRate::total     0.000133                       # mshr miss rate for ReadReq accesses (Ratio)
system.bigCluster.cpus.icache.ReadReq.avgMshrMissLatency::bigCluster.cpus.inst 47145.096057                       # average ReadReq mshr miss latency ((Tick/Count))
system.bigCluster.cpus.icache.ReadReq.avgMshrMissLatency::total 47145.096057                       # average ReadReq mshr miss latency ((Tick/Count))
system.bigCluster.cpus.icache.ReadReq.avgMshrUncacheableLatency::bigCluster.cpus.inst 51111.804996                       # average ReadReq mshr uncacheable latency ((Tick/Count))
system.bigCluster.cpus.icache.ReadReq.avgMshrUncacheableLatency::total 51111.804996                       # average ReadReq mshr uncacheable latency ((Tick/Count))
system.bigCluster.cpus.icache.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.bigCluster.cpus.icache.tags.tagsInUse   650.765398                       # Average ticks per tags in use ((Tick/Count))
system.bigCluster.cpus.icache.tags.totalRefs      7449260                       # Total number of references to valid blocks. (Count)
system.bigCluster.cpus.icache.tags.sampledRefs          989                       # Sample count of references to valid blocks. (Count)
system.bigCluster.cpus.icache.tags.avgRefs  7532.113246                       # Average number of references to valid blocks. ((Count/Count))
system.bigCluster.cpus.icache.tags.warmupTick    126990000                       # The tick when the warmup percentage was hit. (Tick)
system.bigCluster.cpus.icache.tags.occupancies::bigCluster.cpus.inst   650.765398                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.bigCluster.cpus.icache.tags.avgOccs::bigCluster.cpus.inst     0.847351                       # Average percentage of cache occupancy ((Ratio/Tick))
system.bigCluster.cpus.icache.tags.avgOccs::total     0.847351                       # Average percentage of cache occupancy ((Ratio/Tick))
system.bigCluster.cpus.icache.tags.occupanciesTaskId::1024          668                       # Occupied blocks per task id (Count)
system.bigCluster.cpus.icache.tags.ageTaskId_1024::4          668                       # Occupied blocks per task id, per block age (Count)
system.bigCluster.cpus.icache.tags.ratioOccsTaskId::1024     0.869792                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.bigCluster.cpus.icache.tags.tagAccesses     22349693                       # Number of tag accesses (Count)
system.bigCluster.cpus.icache.tags.dataAccesses     22349693                       # Number of data accesses (Count)
system.bigCluster.cpus.icache.tags.power_state.pwrStateResidencyTicks::UNDEFINED  12668390500                       # Cumulative time (in ticks) in various power states (Tick)
system.bigCluster.cpus.iew.idleCycles               0                       # Number of cycles IEW is idle (Cycle)
system.bigCluster.cpus.iew.squashCycles          9569                       # Number of cycles IEW is squashing (Cycle)
system.bigCluster.cpus.iew.blockCycles          12965                       # Number of cycles IEW is blocking (Cycle)
system.bigCluster.cpus.iew.unblockCycles         2670                       # Number of cycles IEW is unblocking (Cycle)
system.bigCluster.cpus.iew.dispatchedInsts     21577530                       # Number of instructions dispatched to IQ (Count)
system.bigCluster.cpus.iew.dispSquashedInsts            0                       # Number of squashed instructions skipped by dispatch (Count)
system.bigCluster.cpus.iew.dispLoadInsts      2272936                       # Number of dispatched load instructions (Count)
system.bigCluster.cpus.iew.dispStoreInsts      4008603                       # Number of dispatched store instructions (Count)
system.bigCluster.cpus.iew.dispNonSpecInsts         1605                       # Number of dispatched non-speculative instructions (Count)
system.bigCluster.cpus.iew.iqFullEvents            14                       # Number of times the IQ has become full, causing a stall (Count)
system.bigCluster.cpus.iew.lsqFullEvents         2502                       # Number of times the LSQ has become full, causing a stall (Count)
system.bigCluster.cpus.iew.memOrderViolationEvents           23                       # Number of memory order violations (Count)
system.bigCluster.cpus.iew.predictedTakenIncorrect         2784                       # Number of branches that were predicted taken incorrectly (Count)
system.bigCluster.cpus.iew.predictedNotTakenIncorrect         7557                       # Number of branches that were predicted not taken incorrectly (Count)
system.bigCluster.cpus.iew.branchMispredicts        10341                       # Number of branch mispredicts detected at execute (Count)
system.bigCluster.cpus.iew.instsToCommit     21521642                       # Cumulative count of insts sent to commit (Count)
system.bigCluster.cpus.iew.writebackCount     21519220                       # Cumulative count of insts written-back (Count)
system.bigCluster.cpus.iew.producerInst      10748847                       # Number of instructions producing a value (Count)
system.bigCluster.cpus.iew.consumerInst      18015285                       # Number of instructions consuming a value (Count)
system.bigCluster.cpus.iew.wbRate            0.849327                       # Insts written-back per cycle ((Count/Cycle))
system.bigCluster.cpus.iew.wbFanout          0.596652                       # Average fanout of values written-back ((Count/Count))
system.bigCluster.cpus.lsq0.forwLoads            4159                       # Number of loads that had data forwarded from stores (Count)
system.bigCluster.cpus.lsq0.squashedLoads        11877                       # Number of loads squashed (Count)
system.bigCluster.cpus.lsq0.ignoredResponses          291                       # Number of memory responses ignored because the instruction is squashed (Count)
system.bigCluster.cpus.lsq0.memOrderViolation           23                       # Number of memory ordering violations (Count)
system.bigCluster.cpus.lsq0.squashedStores         5055                       # Number of stores squashed (Count)
system.bigCluster.cpus.lsq0.rescheduledLoads         1584                       # Number of loads that were rescheduled (Count)
system.bigCluster.cpus.lsq0.blockedByCache            2                       # Number of times an access to memory failed due to the cache being blocked (Count)
system.bigCluster.cpus.lsq0.loadToUse::samples      2260281                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.bigCluster.cpus.lsq0.loadToUse::mean     4.605254                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.bigCluster.cpus.lsq0.loadToUse::stdev    18.515146                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.bigCluster.cpus.lsq0.loadToUse::0-9      2253632     99.71%     99.71% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.bigCluster.cpus.lsq0.loadToUse::10-19         2198      0.10%     99.80% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.bigCluster.cpus.lsq0.loadToUse::20-29           39      0.00%     99.80% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.bigCluster.cpus.lsq0.loadToUse::30-39           48      0.00%     99.81% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.bigCluster.cpus.lsq0.loadToUse::40-49          202      0.01%     99.82% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.bigCluster.cpus.lsq0.loadToUse::50-59            1      0.00%     99.82% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.bigCluster.cpus.lsq0.loadToUse::60-69            6      0.00%     99.82% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.bigCluster.cpus.lsq0.loadToUse::70-79            6      0.00%     99.82% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.bigCluster.cpus.lsq0.loadToUse::80-89          180      0.01%     99.82% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.bigCluster.cpus.lsq0.loadToUse::90-99          137      0.01%     99.83% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.bigCluster.cpus.lsq0.loadToUse::100-109         1704      0.08%     99.91% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.bigCluster.cpus.lsq0.loadToUse::110-119          649      0.03%     99.93% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.bigCluster.cpus.lsq0.loadToUse::120-129           29      0.00%     99.94% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.bigCluster.cpus.lsq0.loadToUse::130-139           13      0.00%     99.94% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.bigCluster.cpus.lsq0.loadToUse::140-149            3      0.00%     99.94% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.bigCluster.cpus.lsq0.loadToUse::150-159            1      0.00%     99.94% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.bigCluster.cpus.lsq0.loadToUse::170-179            1      0.00%     99.94% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.bigCluster.cpus.lsq0.loadToUse::200-209           12      0.00%     99.94% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.bigCluster.cpus.lsq0.loadToUse::210-219           10      0.00%     99.94% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.bigCluster.cpus.lsq0.loadToUse::220-229            4      0.00%     99.94% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.bigCluster.cpus.lsq0.loadToUse::250-259            2      0.00%     99.94% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.bigCluster.cpus.lsq0.loadToUse::overflows         1404      0.06%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.bigCluster.cpus.lsq0.loadToUse::min_value            3                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.bigCluster.cpus.lsq0.loadToUse::max_value          925                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.bigCluster.cpus.lsq0.loadToUse::total      2260281                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.bigCluster.cpus.mmu.alignFaults              0                       # Number of MMU faults due to alignment restrictions (Count)
system.bigCluster.cpus.mmu.prefetchFaults            2                       # Number of MMU faults due to prefetch (Count)
system.bigCluster.cpus.mmu.domainFaults             0                       # Number of MMU faults due to domain restrictions (Count)
system.bigCluster.cpus.mmu.permsFaults              0                       # Number of MMU faults due to permissions restrictions (Count)
system.bigCluster.cpus.mmu.dtb.readHits       2269097                       # Read hits (Count)
system.bigCluster.cpus.mmu.dtb.readMisses          412                       # Read misses (Count)
system.bigCluster.cpus.mmu.dtb.writeHits      4000744                       # Write hits (Count)
system.bigCluster.cpus.mmu.dtb.writeMisses          387                       # Write misses (Count)
system.bigCluster.cpus.mmu.dtb.inserts            290                       # Number of times an entry is inserted into the TLB (Count)
system.bigCluster.cpus.mmu.dtb.flushTlb             8                       # Number of times complete TLB was flushed (Count)
system.bigCluster.cpus.mmu.dtb.flushTlbMva          214                       # Number of times TLB was flushed by MVA (Count)
system.bigCluster.cpus.mmu.dtb.flushTlbMvaAsid            0                       # Number of times TLB was flushed by MVA & ASID (Count)
system.bigCluster.cpus.mmu.dtb.flushTlbAsid            0                       # Number of times TLB was flushed by ASID (Count)
system.bigCluster.cpus.mmu.dtb.flushedEntries          237                       # Number of entries that have been flushed from TLB (Count)
system.bigCluster.cpus.mmu.dtb.readAccesses      2269509                       # Read accesses (Count)
system.bigCluster.cpus.mmu.dtb.writeAccesses      4001131                       # Write accesses (Count)
system.bigCluster.cpus.mmu.dtb.hits           6269841                       # Total TLB (inst and data) hits (Count)
system.bigCluster.cpus.mmu.dtb.misses             799                       # Total TLB (inst and data) misses (Count)
system.bigCluster.cpus.mmu.dtb.accesses       6270640                       # Total TLB (inst and data) accesses (Count)
system.bigCluster.cpus.mmu.dtb_walker.walks          792                       # Table walker walks requested (Count)
system.bigCluster.cpus.mmu.dtb_walker.walksLongDescriptor          792                       # Table walker walks initiated with long descriptors (Count)
system.bigCluster.cpus.mmu.dtb_walker.walksLongTerminatedAtLevel::Level1            1                       # Level at which table walker walks with long descriptors terminate (Count)
system.bigCluster.cpus.mmu.dtb_walker.walksLongTerminatedAtLevel::Level2           17                       # Level at which table walker walks with long descriptors terminate (Count)
system.bigCluster.cpus.mmu.dtb_walker.walksLongTerminatedAtLevel::Level3          267                       # Level at which table walker walks with long descriptors terminate (Count)
system.bigCluster.cpus.mmu.dtb_walker.squashedBefore          407                       # Table walks squashed before starting (Count)
system.bigCluster.cpus.mmu.dtb_walker.walkWaitTime::samples          385                       # Table walker wait (enqueue to first request) latency (Tick)
system.bigCluster.cpus.mmu.dtb_walker.walkWaitTime::mean    50.649351                       # Table walker wait (enqueue to first request) latency (Tick)
system.bigCluster.cpus.mmu.dtb_walker.walkWaitTime::stdev   628.660816                       # Table walker wait (enqueue to first request) latency (Tick)
system.bigCluster.cpus.mmu.dtb_walker.walkWaitTime::0-1023          382     99.22%     99.22% # Table walker wait (enqueue to first request) latency (Tick)
system.bigCluster.cpus.mmu.dtb_walker.walkWaitTime::2048-3071            1      0.26%     99.48% # Table walker wait (enqueue to first request) latency (Tick)
system.bigCluster.cpus.mmu.dtb_walker.walkWaitTime::7168-8191            1      0.26%     99.74% # Table walker wait (enqueue to first request) latency (Tick)
system.bigCluster.cpus.mmu.dtb_walker.walkWaitTime::9216-10239            1      0.26%    100.00% # Table walker wait (enqueue to first request) latency (Tick)
system.bigCluster.cpus.mmu.dtb_walker.walkWaitTime::total          385                       # Table walker wait (enqueue to first request) latency (Tick)
system.bigCluster.cpus.mmu.dtb_walker.walkServiceTime::samples          678                       # Table walker service (enqueue to completion) latency (Tick)
system.bigCluster.cpus.mmu.dtb_walker.walkServiceTime::mean 25205.014749                       # Table walker service (enqueue to completion) latency (Tick)
system.bigCluster.cpus.mmu.dtb_walker.walkServiceTime::gmean 19077.761035                       # Table walker service (enqueue to completion) latency (Tick)
system.bigCluster.cpus.mmu.dtb_walker.walkServiceTime::stdev 21690.739672                       # Table walker service (enqueue to completion) latency (Tick)
system.bigCluster.cpus.mmu.dtb_walker.walkServiceTime::0-8191           73     10.77%     10.77% # Table walker service (enqueue to completion) latency (Tick)
system.bigCluster.cpus.mmu.dtb_walker.walkServiceTime::8192-16383          109     16.08%     26.84% # Table walker service (enqueue to completion) latency (Tick)
system.bigCluster.cpus.mmu.dtb_walker.walkServiceTime::16384-24575          376     55.46%     82.30% # Table walker service (enqueue to completion) latency (Tick)
system.bigCluster.cpus.mmu.dtb_walker.walkServiceTime::24576-32767            1      0.15%     82.45% # Table walker service (enqueue to completion) latency (Tick)
system.bigCluster.cpus.mmu.dtb_walker.walkServiceTime::32768-40959            1      0.15%     82.60% # Table walker service (enqueue to completion) latency (Tick)
system.bigCluster.cpus.mmu.dtb_walker.walkServiceTime::49152-57343           18      2.65%     85.25% # Table walker service (enqueue to completion) latency (Tick)
system.bigCluster.cpus.mmu.dtb_walker.walkServiceTime::57344-65535           72     10.62%     95.87% # Table walker service (enqueue to completion) latency (Tick)
system.bigCluster.cpus.mmu.dtb_walker.walkServiceTime::98304-106495           28      4.13%    100.00% # Table walker service (enqueue to completion) latency (Tick)
system.bigCluster.cpus.mmu.dtb_walker.walkServiceTime::total          678                       # Table walker service (enqueue to completion) latency (Tick)
system.bigCluster.cpus.mmu.dtb_walker.pendingWalks::samples  12490470500                       # Table walker pending requests distribution (Tick)
system.bigCluster.cpus.mmu.dtb_walker.pendingWalks::mean     0.079778                       # Table walker pending requests distribution (Tick)
